habitat_label,n_obs,status,eunis_code,eunis_label,eunis_level,match,confidence,note,eunis_uri,decision
Garten,3073,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,0.95,Small-scale domestic garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Schilf,465,linked,C3.21,[Phragmites australis] beds,4,exact,0.95,Phragmites reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.21,
Hangwald,353,linked,G,"Woodland, forest and other wooded land",1,close,0.85,Slope forest,http://eunis.eea.europa.eu/eunishabitats/G,
Wald,321,linked,G,"Woodland, forest and other wooded land",1,exact,1.00,Generic woodland,http://eunis.eea.europa.eu/eunishabitats/G,
Wiese,263,linked,E2,Mesic grasslands,2,exact,0.90,Mesic grassland,http://eunis.eea.europa.eu/eunishabitats/E2,
Moor,252,linked,D,"Mires, bogs and fens",1,exact,0.90,"Mires, bogs and fens",http://eunis.eea.europa.eu/eunishabitats/D,
Auwald,208,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,exact,0.95,Riparian and gallery woodland,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Auen,193,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.80,Riparian floodplain zone,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Felder,165,linked,I1,Arable land and market gardens,2,exact,0.95,Arable fields,http://eunis.eea.europa.eu/eunishabitats/I1,
Forst,163,linked,G,"Woodland, forest and other wooded land",1,close,0.85,Managed plantation forest,http://eunis.eea.europa.eu/eunishabitats/G,
Park,124,linked,I2.1,Large-scale ornamental garden areas,3,exact,0.90,Large-scale ornamental park,http://eunis.eea.europa.eu/eunishabitats/I2.1,
Ahornbäume,113,linked,G1.A,"Meso- and eutrophic [Quercus], [Carpinus], [Fraxinus], [Acer], [Tilia], [Ulmus] and related woodland",3,close,0.75,"Maple trees, likely deciduous woodland",http://eunis.eea.europa.eu/eunishabitats/G1.A,
Moos,111,linked,D,"Mires, bogs and fens",1,exact,0.90,Bavarian dialect for bog/mire,http://eunis.eea.europa.eu/eunishabitats/D,
See,102,linked,C1,Surface standing waters,2,exact,0.95,Lake,http://eunis.eea.europa.eu/eunishabitats/C1,
Kiesbank,95,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,exact,0.90,Unvegetated river gravel bank,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Haus,95,linked,J1,"Buildings of cities, towns and villages",2,broad,0.80,Residential building,http://eunis.eea.europa.eu/eunishabitats/J1,
Fichten,87,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.90,Spruce trees (Picea woodland),http://eunis.eea.europa.eu/eunishabitats/G3.1,
Hochwald,65,linked,G,"Woodland, forest and other wooded land",1,close,0.85,High forest,http://eunis.eea.europa.eu/eunishabitats/G,
Feld,64,linked,I1,Arable land and market gardens,2,exact,0.95,Arable field,http://eunis.eea.europa.eu/eunishabitats/I1,
Bäume,64,linked,G5,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,broad,0.80,Lines or small groups of trees,http://eunis.eea.europa.eu/eunishabitats/G5,
Schilffeld,61,linked,C3.21,[Phragmites australis] beds,4,exact,0.90,Phragmites reedbed,http://eunis.eea.europa.eu/eunishabitats/C3.21,
Wäldchen,56,linked,G5,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,exact,0.90,Small anthropogenic woodland,http://eunis.eea.europa.eu/eunishabitats/G5,
Gebüsch,51,linked,F3,Temperate and mediterranean-montane scrub,2,exact,0.90,Temperate scrub,http://eunis.eea.europa.eu/eunishabitats/F3,
Schilfrand,51,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.90,Edge of water-fringing reedbed,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Röhricht,48,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Teich,47,linked,C1,Surface standing waters,2,exact,0.90,Pond,http://eunis.eea.europa.eu/eunishabitats/C1,
Kanal,46,linked,J5.4,Highly artificial non-saline running waters,3,exact,0.90,Highly artificial running water,http://eunis.eea.europa.eu/eunishabitats/J5.4,
Friedhof,45,linked,J4.7,Constructed parts of cemeteries,3,exact,0.90,Cemetery,http://eunis.eea.europa.eu/eunishabitats/J4.7,
Buschwerk,45,linked,F3,Temperate and mediterranean-montane scrub,2,exact,0.90,Temperate scrub,http://eunis.eea.europa.eu/eunishabitats/F3,
WB,45,review,C2,Surface running waters,2,close,0.60,"Abbreviation, likely Waldbach (forest brook)",http://eunis.eea.europa.eu/eunishabitats/C2,
Altwasser,43,linked,C1,Surface standing waters,2,exact,0.90,Oxbow lake / backwater,http://eunis.eea.europa.eu/eunishabitats/C1,
Anlagen,43,linked,I2,Cultivated areas of gardens and parks,2,close,0.85,Public green spaces / parks,http://eunis.eea.europa.eu/eunishabitats/I2,
Futterbrett,42,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.80,Bird feeder in domestic garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Rohrwald,39,linked,C3.21,[Phragmites australis] beds,4,exact,0.90,Large Phragmites reedbed,http://eunis.eea.europa.eu/eunishabitats/C3.21,
Obstgarten,39,linked,G1.D,Fruit and nut tree orchards,3,exact,0.95,Fruit orchard,http://eunis.eea.europa.eu/eunishabitats/G1.D,
Wasser,37,linked,C,Inland surface waters,1,exact,0.90,Inland surface water,http://eunis.eea.europa.eu/eunishabitats/C,
Schlucht,37,linked,H3,"Inland cliffs, rock pavements and outcrops",2,close,0.75,Gorge or ravine,http://eunis.eea.europa.eu/eunishabitats/H3,
Weiher,36,linked,C1,Surface standing waters,2,exact,0.90,Pond,http://eunis.eea.europa.eu/eunishabitats/C1,
Gärten,35,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,0.95,Domestic gardens,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Ahornbäume beim Haus,34,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.80,Maple trees in a domestic garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Mooswäldchen,32,linked,G5.2,Small broadleaved deciduous anthropogenic woodlands,3,close,0.70,Small broadleaved deciduous woodland or bog woodland,http://eunis.eea.europa.eu/eunishabitats/G5.2,
Fluss,31,linked,C2,Surface running waters,2,exact,1.00,Running water,http://eunis.eea.europa.eu/eunishabitats/C2,
Erlen,30,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.80,Alnus woodland or riparian scrub,http://eunis.eea.europa.eu/eunishabitats/G1.1,
