merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
persons: A. A. Allen -> A.A. Allen,persons,A. A. Allen,A.A. Allen,same-key,auto,1,1,,,
persons: A. Bachmann -> Alf. Bachmann,persons,A. Bachmann,Alf. Bachmann,dominant,auto,2,9,,,
persons: Alf Bachmann -> Alf. Bachmann,persons,Alf Bachmann,Alf. Bachmann,same-key,auto,7,9,,,
persons: Bachmann -> Alf. Bachmann,persons,Bachmann,Alf. Bachmann,dominant,auto,1,9,,,
persons: Baumann -> A. Baumann,persons,Baumann,A. Baumann,surname-unique,auto,1,1,,,
persons: Prof. Baumann -> A. Baumann,persons,Prof. Baumann,A. Baumann,same-key,auto,2,1,,,
persons: Rektor A. Büchner -> A. Büchner,persons,Rektor A. Büchner,A. Büchner,same-key,auto,1,3,,,
persons: Dürer -> A. DÜRER,persons,Dürer,A. DÜRER,surname-unique,auto,4,1,,,
persons: A. Fischer -> Anton Fischer,persons,A. Fischer,Anton Fischer,initial-unique,auto,20,39,,,
persons: Fischer -> Anton Fischer,persons,Fischer,Anton Fischer,dominant,auto,13,39,,,
persons: A. Gauckler -> Anton Gauckler,persons,A. Gauckler,Anton Gauckler,initial-unique,auto,11,2,,,
persons: A.GAUCKLER -> Anton Gauckler,persons,A.GAUCKLER,Anton Gauckler,same-key,auto,1,2,,,
persons: GAUCKLER -> Anton Gauckler,persons,GAUCKLER,Anton Gauckler,surname-unique,auto,2,2,,,
persons: Gauckler -> Anton Gauckler,persons,Gauckler,Anton Gauckler,same-key,auto,30,2,,,
persons: Prof. Gauckler -> Anton Gauckler,persons,Prof. Gauckler,Anton Gauckler,same-key,auto,1,2,,,
persons: Prof. A. Ghigi -> A. Ghigi,persons,Prof. A. Ghigi,A. Ghigi,same-key,auto,1,1,,,
persons: Prof. Dr. A. Ghigi -> A. Ghigi,persons,Prof. Dr. A. Ghigi,A. Ghigi,same-key,auto,1,1,,,
persons: Prof. Ghigi -> A. Ghigi,persons,Prof. Ghigi,A. Ghigi,surname-unique,auto,3,1,,,
persons: Miller -> A. H. Miller,persons,Miller,A. H. Miller,surname-unique,auto,1,1,,,
persons: A. K. Müller -> Ad. Kl. Müller,persons,A. K. Müller,Ad. Kl. Müller,dominant,auto,20,5,,,
persons: K. Müller -> Ad. Kl. Müller,persons,K. Müller,Ad. Kl. Müller,dominant,auto,22,5,,,
persons: A. Kögel -> Anton Kögel,persons,A. Kögel,Anton Kögel,initial-unique,auto,3,10,,,
