place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
München,25143,settlement,linked,osm+geonames,48.13743,11.57549,5000,2867714,Munich,P.PPLA,DE,02,Q1726,relation/62428,0.95,entry context 0 km (67% of the entries),
Ismaning,17352,locality,linked,osm+geonames,48.23333,11.68333,2000,2895643,Ismaning,P.PPLA4,DE,02,Q254897,relation/2168245,0.95,entry context 3 km (94% of the entries),
Kaufbeuren,3442,settlement,linked,osm+geonames,47.88238,10.62192,2000,2892080,Kaufbeuren,P.PPLA3,DE,02,Q14805,relation/62349,0.95,entry context 0 km (76% of the entries),
Ismaninger Speichersee,2284,locality,linked,osm,48.21295,11.73915,1500,,,,,,Q61018113,relation/12038482,0.95,entry context 4 km (95% of the entries),
Pöcking,1638,,linked,osm+geonames,47.96667,11.30000,2000,2853066,Pöcking,P.PPLA4,DE,02,Q514747,relation/932449,0.95,entry context 1 km (87% of the entries),
Maisinger See,1560,locality,linked,osm+geonames,47.98023,11.28020,1000,2874169,Maisinger See,H.LK,DE,02,Q267041,relation/15273359,0.95,entry context 1 km (71% of the entries),
Tutzing,1409,locality,linked,osm+geonames,47.90938,11.28030,2000,2820692,Tutzing,P.PPLA4,DE,02,Q533166,relation/932435,0.95,entry context 1 km (90% of the entries),
Ismaninger Teichgebiet,1384,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Isar,1153,locality,linked,osm,48.25107,11.68398,3000,,,,,,Q106588,relation/273028,0.95,entry context 2 km (100% of the entries),
Hagnau,700,,linked,osm+geonames,47.67666,9.31787,1500,2912417,Hagnau,P.PPL,DE,01,Q539889,relation/2783927,0.95,entry context 2 km (77% of the entries),
Harlaching,605,locality,linked,osm+geonames,48.08978,11.56345,1000,2910448,Harlaching,P.PPLX,DE,02,Q52265016,node/60530001,0.95,entry context 1 km (94% of the entries),
Starnberger See,598,locality,linked,osm+geonames,47.90348,11.31187,1000,2829454,Starnberger See,H.LK,DE,02,Q131615,relation/168892,0.95,entry context 2 km (89% of the entries),
Perlacher Forst,584,locality,linked,osm+geonames,48.06721,11.57664,1500,2854856,Perlacher Forst,V.FRST,DE,02,Q252634,relation/38897,0.95,entry context 2 km (100% of the entries),
Ampermoos,498,locality,linked,osm,48.10120,11.13375,1500,,,,,,Q56102914,way/1116043568,0.95,entry context 1 km (98% of the entries),
Bernried,450,,linked,osm,47.78939,10.79665,500,,,,,,,node/416049712,0.95,entry context 16 km (75% of the entries),
Maininger See,431,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Starnberg,415,locality,linked,osm+geonames,48.00193,11.34416,2000,2829457,Starnberg,P.PPLA3,DE,02,Q61936,relation/932485,0.95,entry context 1 km (96% of the entries),
Tierpark Hellabrunn,400,locality,linked,osm+geonames,48.09780,11.55446,500,7733347,Hellabrunn Zoo,S.ZOO,DE,02,Q264691,way/156435529,0.95,entry context 1 km (100% of the entries),
Wertach,390,locality,linked,osm+geonames,47.60301,10.40966,1500,2810728,Wertach,P.PPL,DE,02,Q549138,relation/958081,0.95,entry context 7 km (90% of the entries),
Tafelberg,380,locality,linked,osm,49.48446,11.78224,500,,,,,,,node/4483317389,0.85,,
Ammersee,355,locality,linked,osm+geonames,47.99668,11.12716,1000,2956426,Ammersee,H.LK,DE,02,Q265336,relation/168893,0.95,entry context 4 km (94% of the entries),
Grafrath,345,locality,linked,osm+geonames,48.11667,11.16667,2000,2918232,Grafrath,P.PPLA4,DE,02,Q503617,relation/933540,0.95,entry context 2 km (100% of the entries),
Nymphenburger Schlosspark,321,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Germering,292,,linked,osm+geonames,48.13392,11.37650,1500,2921039,Germering,P.PPL,DE,02,Q14898,relation/933480,0.95,entry context 5 km (96% of the entries),
Münster,279,settlement,linked,osm+geonames,47.42164,11.83356,2000,2771028,Münster,P.PPLA3,AT,07,Q686524,relation/972054,0.95,,
Buchloe,273,,linked,osm+geonames,48.03719,10.72548,1500,2942281,Buchloe,P.PPL,DE,02,Q265110,relation/442789,0.95,entry context 4 km (78% of the entries),
Emmering,271,locality,linked,osm+geonames,48.18333,11.28333,2000,2930500,Emmering,P.PPLA4,DE,02,Q203397,relation/933487,0.95,entry context 2 km (90% of the entries),
Falkenstein,270,locality,linked,geonames,47.57000,10.59167,500,2927922,Falkenstein,T.MT,DE,02,Q31547515,,0.95,GeoNames primary name match (DE); entry context 1 km (59% of the entries),
Feldwies,259,locality,linked,osm+geonames,47.83240,12.48468,1500,2927283,Feldwies,P.PPL,DE,02,,node/60950708,0.95,,
Maining,248,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Eching,228,locality,linked,osm+geonames,48.07991,11.11336,1500,2933801,Eching,P.PPL,DE,02,Q165818,relation/933872,0.95,entry context 1 km (81% of the entries),
Hochleite,220,,linked,osm,48.04619,11.51476,500,,,,,,,node/2955113215,0.95,entry context 1 km (100% of the entries),
Hirschau,212,locality,linked,osm,47.74436,10.83568,500,,,,,,,node/343349240,0.85,,
Mairinger See,210,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Schirm,208,locality,review,osm,50.54243,12.08175,1500,,,,,,,way/396402360,0.45,"OSM amenity/fast_food named after the place; far from most of the entries' other places (3% within 80 km, nearest 43 km)",
