merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
places: Muenchen -> München,places,Muenchen,München,orthographic,auto,7,25142,kind - / settlement,,
places: katholischer Kirchturm -> Katholischer Kirchturm,places,katholischer Kirchturm,Katholischer Kirchturm,orthographic,auto,2,8,kind locality / locality,,
places: St. Cosmas -> Sankt Cosmas,places,St. Cosmas,Sankt Cosmas,orthographic,auto,3,16,kind locality / locality,,
places: Mairinger-See -> Mairinger See,places,Mairinger-See,Mairinger See,orthographic,auto,16,210,kind locality / locality,,
places: Bogenhauser-Brücke -> Bogenhauser Brücke,places,Bogenhauser-Brücke,Bogenhauser Brücke,orthographic,auto,1,47,kind - / locality,,
places: St. Leonhard -> Sankt Leonhard,places,St. Leonhard,Sankt Leonhard,orthographic,auto,1,4,kind - / locality,,
places: Nymphenburger Schloßpark -> Nymphenburger Schlosspark,places,Nymphenburger Schloßpark,Nymphenburger Schlosspark,orthographic,auto,5,321,kind locality / locality,,
places: Gasteig Anlagen -> Gasteig-Anlagen,places,Gasteig Anlagen,Gasteig-Anlagen,orthographic,auto,4,30,kind locality / locality,,
"places: München, Äußere Prinzregentenstraße -> München, äußere Prinzregentenstraße",places,"München, Äußere Prinzregentenstraße","München, äußere Prinzregentenstraße",orthographic,auto,2,4,kind locality / locality,,
places: Schlossberg -> Schloßberg,places,Schlossberg,Schloßberg,orthographic,auto,26,40,kind locality / locality,,
places: Ob -> OB,places,Ob,OB,orthographic,auto,25,29,kind locality / locality,,
places: Ob. -> OB,places,Ob.,OB,orthographic,auto,22,29,kind locality / locality,,
places: St. Alban -> Sankt Alban,places,St. Alban,Sankt Alban,orthographic,auto,14,26,kind locality / locality,,
places: Markt-Oberdorf -> Markt Oberdorf,places,Markt-Oberdorf,Markt Oberdorf,orthographic,auto,1,6,kind - / -,,
places: Schloss Laufen -> Schloß Laufen,places,Schloss Laufen,Schloß Laufen,orthographic,auto,1,1,kind - / -,,
places: Zuerich -> Zürich,places,Zuerich,Zürich,orthographic,auto,2,36,kind - / locality,,
places: St. Bartholomä -> Sankt Bartholomä,places,St. Bartholomä,Sankt Bartholomä,orthographic,auto,2,6,kind locality / locality,,
places: Sammister Weiher -> Sammister-Weiher,places,Sammister Weiher,Sammister-Weiher,orthographic,auto,8,12,kind locality / locality,,
places: Sankt Heinrich -> St. Heinrich,places,Sankt Heinrich,St. Heinrich,orthographic,auto,3,4,kind locality / -,,
places: Wessling -> Weßling,places,Wessling,Weßling,orthographic,auto,2,22,kind locality / route,,
places: Zwiefalten - Kloster -> Zwiefalten-Kloster,places,Zwiefalten - Kloster,Zwiefalten-Kloster,orthographic,auto,1,2,kind - / locality,,
places: Stauwehr der mittleren Isar -> Stauwehr der Mittleren Isar,places,Stauwehr der mittleren Isar,Stauwehr der Mittleren Isar,orthographic,auto,1,2,kind - / -,,
places: Ismaninger-Kanal -> Ismaninger Kanal,places,Ismaninger-Kanal,Ismaninger Kanal,orthographic,auto,2,138,kind - / locality,,
places: Anger Moos -> Anger-Moos,places,Anger Moos,Anger-Moos,orthographic,auto,2,6,kind locality / locality,,
places: Eßsee -> Esssee,places,Eßsee,Esssee,orthographic,auto,6,8,kind locality / locality,,
"places: Maisinger See, Westseite -> Maisinger See Westseite",places,"Maisinger See, Westseite",Maisinger See Westseite,orthographic,auto,2,2,kind locality / locality,,
places: St. Emmeram -> Sankt Emmeram,places,St. Emmeram,Sankt Emmeram,orthographic,auto,1,4,kind - / locality,,
places: alter Schirm -> Alter Schirm,places,alter Schirm,Alter Schirm,orthographic,auto,10,12,kind locality / locality,,
places: Neuer Schirm -> neuer Schirm,places,Neuer Schirm,neuer Schirm,orthographic,auto,6,20,kind locality / locality,,
places: Speichersee-Westbecken -> Speichersee Westbecken,places,Speichersee-Westbecken,Speichersee Westbecken,orthographic,auto,6,12,kind locality / locality,,
places: St. Wolfgang -> Sankt Wolfgang,places,St. Wolfgang,Sankt Wolfgang,orthographic,auto,4,10,kind - / locality,,
places: St. Margrethen -> Sankt Margrethen,places,St. Margrethen,Sankt Margrethen,orthographic,auto,1,2,kind - / locality,,
places: Beim Haus -> beim Haus,places,Beim Haus,beim Haus,orthographic,auto,4,46,kind locality / locality,,
