merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
taxa: Lachmöve -> Lachmöwe,taxa,Lachmöve,Lachmöwe,gbif-key,auto,10,1153,gbif:6065824 · Chroicocephalus ridibundus,,
taxa: Bergmöve -> Lachmöwe,taxa,Bergmöve,Lachmöwe,gbif-key,auto,1,1153,gbif:6065824 · Chroicocephalus ridibundus,,
taxa: Weidenlaubsänger -> Weidenlaubvogel,taxa,Weidenlaubsänger,Weidenlaubvogel,gbif-key,auto,215,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Hauslaubvogel -> Weidenlaubvogel,taxa,Hauslaubvogel,Weidenlaubvogel,gbif-key,auto,10,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Zilpzalp -> Weidenlaubvogel,taxa,Zilpzalp,Weidenlaubvogel,gbif-key,auto,318,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Bachlaubvogel -> Weidenlaubvogel,taxa,Bachlaubvogel,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Winterlaubvogel -> Weidenlaubvogel,taxa,Winterlaubvogel,Weidenlaubvogel,gbif-key,auto,14,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Eichenlaubvogel -> Weidenlaubvogel,taxa,Eichenlaubvogel,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Hüttelaubvogel -> Weidenlaubvogel,taxa,Hüttelaubvogel,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Weidelaubvogel -> Weidenlaubvogel,taxa,Weidelaubvogel,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Weidenlaubsperling -> Weidenlaubvogel,taxa,Weidenlaubsperling,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Tannenlaubvogel -> Weidenlaubvogel,taxa,Tannenlaubvogel,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Graulaubvogel -> Weidenlaubvogel,taxa,Graulaubvogel,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Hüttenlaubvogel -> Weidenlaubvogel,taxa,Hüttenlaubvogel,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Winterlaubsänger -> Weidenlaubvogel,taxa,Winterlaubsänger,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Fichtenlaubvogel -> Weidenlaubvogel,taxa,Fichtenlaubvogel,Weidenlaubvogel,gbif-key,auto,2,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Zilpzalpvogel -> Weidenlaubvogel,taxa,Zilpzalpvogel,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Piti -> Weidenlaubvogel,taxa,Piti,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Zilp -> Weidenlaubvogel,taxa,Zilp,Weidenlaubvogel,gbif-key,auto,4,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Zilpzalpsänger -> Weidenlaubvogel,taxa,Zilpzalpsänger,Weidenlaubvogel,gbif-key,auto,3,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Fisiggeis -> Weidenlaubvogel,taxa,Fisiggeis,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Weidelaubsänger -> Weidenlaubvogel,taxa,Weidelaubsänger,Weidenlaubvogel,gbif-key,auto,1,423,gbif:2493091 · Phylloscopus collybita,,
taxa: Fichtenlaubsänger -> Fitis,taxa,Fichtenlaubsänger,Fitis,gbif-key,auto,4,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Fitislaubvogel -> Fitis,taxa,Fitislaubvogel,Fitis,gbif-key,auto,138,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Gartenlaubvogel -> Fitis,taxa,Gartenlaubvogel,Fitis,gbif-key,auto,5,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Wiedelaubvogel -> Fitis,taxa,Wiedelaubvogel,Fitis,gbif-key,auto,1,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Fitislaubsänger -> Fitis,taxa,Fitislaubsänger,Fitis,gbif-key,auto,89,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Fitislaubsperling -> Fitis,taxa,Fitislaubsperling,Fitis,gbif-key,auto,1,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Fitislauber -> Fitis,taxa,Fitislauber,Fitis,gbif-key,auto,2,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Wiesenlaubvogel -> Fitis,taxa,Wiesenlaubvogel,Fitis,gbif-key,auto,2,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Eitis -> Fitis,taxa,Eitis,Fitis,gbif-key,auto,2,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: filitis -> Fitis,taxa,filitis,Fitis,gbif-key,auto,1,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Fitspitz -> Fitis,taxa,Fitspitz,Fitis,gbif-key,auto,1,338,gbif:2493052 · Phylloscopus trochilus,,
taxa: Langohreule -> Waldohreule,taxa,Langohreule,Waldohreule,gbif-key,auto,1,82,gbif:2497306 · Asio otus,,
